FSCA	EGFP	classification
424062.4	63427.65	high
447709.9	62923	high
553091.9	62871.55	high
459803.7	62831.8	high
548281.2	62820.8	high
437241	61509.7	high
469133.4	61482.05	high
439499.5	61390.7	high
405046.3	61359	high
349797.5	60641.55	high
249589.2	60571	high
740348.8	59137.5	high
547526	58183.2	high
504663.6	57503.6	high
449856	57437	high
477510.6	57089.1	high
324534.4	56698.45	high
424497.9	56346.2	high
533002.2	55809.45	high
478259	54050.75	high
470497	53329	high
663539.2	52767.75	high
483234.9	51764.8	high
340432.1	50828.45	high
324765.1	50818.4	high
401257.3	50677.2	high
492536.8	49794.1	high
499874.4	49440.3	high
715256.6	49194.9	high
569554.8	49120.15	high
727340.1	48635.65	high
489666.9	48528.05	high
354787.2	47262.55	high
521527.8	46611.6	high
404730.1	46306.05	high
444092.5	45990.75	high
573721.2	45525.25	high
498801	45044.75	high
550965.8	44685.8	high
703554.2	44249.4	high
418095.7	43890.6	high
387052.1	43705.95	high
361862	43590.1	high
453840.5	42510.05	high
528468.7	42378.45	high
414422.9	42310.95	high
610506	40737.7	high
457249.3	40441.5	high
501780.2	40393.2	high
558474.2	37996.2	high
483964.5	36417.8	high
328310.4	35833.7	high
436601.2	35023.4	high
444068.7	34901.35	high
409805.8	34403.7	high
583244.4	33770.9	high
778621.1	33610.65	high
467836.2	33445.45	high
712968.3	33208.9	high
573646.5	33008.05	high
334992.9	32454.6	high
488722.8	31831.85	high
608777.8	31642.35	high
487934.1	31465.55	high
445477.8	31207.6	high
234415.7	31030.95	high
432221	30833.4	high
432138.2	30827.65	high
664786.9	30795.8	high
604809	29138.4	high
250728.6	26621.15	high
443195.9	26604.7	high
476833	25375.25	high
403142.8	24847.6	high
425010.7	23436.45	high
346410.6	22280.3	high
478138.7	22131.6	high
587475.1	22030.55	high
414755.9	21208.65	high
649232.1	19926.15	high
375124.5	19689.15	high
430533.8	19591.45	high
290816.4	19215.25	high
506593.4	19040	high
295420	18409.15	high
476198.5	18173	high
657586.1	17382.65	high
556019.3	16850.9	high
529230.6	15909.65	high
607302.2	15862.05	high
487736.4	13917	high
702296	13294.2	high
405063.8	12764.1	high
658778.6	12030.25	high
645773.5	11948.8	high
530306.4	10851	high
600932	9835.95	low
337605.5	9803.3	low
580997.2	8931.75	low
284292.7	8917	low
655183.6	8817.35	low
531817.4	8655.05	low
494135.3	8497	low
496280.6	8441.35	low
665584.2	8007.15	low
427866.5	7783.35	low
616378.6	7675.2	low
347216.4	7427.2	low
252808.8	7404.8	low
855326.8	7143.05	low
526705.3	6911.55	low
241079.4	6839.55	low
415461.4	6624.95	low
496046	6399.3	low
506808.4	6147.65	low
679971.8	6137.35	low
496243.2	6116.9	low
840000.9	6061.55	low
513644.7	5883.55	low
387858	5784.7	low
551295.2	5702.45	low
372704.9	5670.3	low
714995.5	5558.95	low
1101716	5248.75	low
553741.3	5184.55	low
555020.4	5183.9	low
619545	5183.5	low
785017.5	5062.8	low
524430.5	5057.3	low
701988.4	5032.3	low
719188.9	5026.95	low
835063.2	4980.85	low
519783.9	4978.7	low
521497	4902.1	low
716261.6	4839.1	low
661987.4	4815.65	low
505675.6	4734.85	low
583976.3	4728.9	low
711407.1	4699.05	low
718555.7	4695.35	low
558733.7	4674.6	low
782912.7	4660.8	low
405278.5	4657.3	low
502337.7	4653.45	low
458040.1	4630.3	low
753715.2	4545.85	low
604464.1	4541.5	low
514997.9	4524.25	low
690363.7	4516.6	low
716115.6	4425.8	low
483995.5	4358.2	low
442171.4	4354.8	low
688936.7	4310.85	low
713206.8	4301.95	low
551540.1	4255.45	low
900842.1	4242.9	low
443132.4	4229.4	low
517538.2	4218.1	low
497939.3	4184.15	low
734963.5	4177.15	low
531764.1	4166	low
258716.6	4120.4	low
324806.5	4081.3	low
521651.3	4079.8	low
360054.5	4065.3	low
414210.7	4063.2	low
426731.6	4062.7	low
490093.7	4054.75	low
620604	4037.6	low
531274.1	4030.65	low
500712.2	4006.5	low
558019.7	3987.25	low
520466.9	3986.9	low
747838.4	3979.55	low
626830.2	3974.3	low
478786.8	3945.15	low
529372.4	3918.9	low
759685.1	3914.85	low
424912.3	3857.2	low
536547.6	3843.2	low
449747.5	3840	low
547827.8	3794.35	low
584152.3	3773.6	low
331623.3	3754.95	low
542878	3710.8	low
528925.9	3709.95	low
587634.7	3698.75	low
593570.5	3694.75	low
381868	3658.2	low
670685.1	3647.8	low
548027.3	3613.9	low
283348.5	3601.1	low
543549.6	3558.85	low
460767.1	3550.75	low
572681.8	3531.45	low
419756.9	3530.5	low
446664	3522.25	low
644447.9	3517.25	low
413922.4	3516.8	low
528564.3	3488.8	low
693208.5	3461.45	low
699889	3439.75	low
831454.1	3437.65	low
628925.4	3433.65	low
572076.7	3423.75	low
699560.3	3416.05	low
515315.9	3411.2	low
598204.3	3396	low
783177.1	3395.65	low
623107.2	3390.2	low
479519.4	3382.15	low
648409	3379.2	low
587150.3	3378.25	low
644469	3347.35	low
626323.3	3346.4	low
651056.8	3343.15	low
652206.9	3339.35	low
528396.9	3332.55	low
618999	3316.6	low
659637.3	3307.75	low
417711.8	3306.4	low
489361.6	3302.95	low
391572.9	3292.45	low
820868.6	3290.8	low
425871.3	3285.7	low
659704.6	3270.85	low
495182.7	3238	low
370273.5	3202.2	low
414228.8	3199.15	low
589866.7	3195.45	low
782984.9	3193.85	low
314005.6	3190.85	low
583757.7	3171	low
846759	3169	low
675463.1	3150.8	low
325494.8	3123.6	low
490308.8	3106.9	low
391500.7	3105.75	low
689230.3	3101.25	low
435245.7	3100	low
666477.3	3099.15	low
596440.1	3093.05	low
490537.3	3057.4	low
583726.2	3040.65	low
535136.9	3037.55	low
461734.8	3036.5	low
639941.7	3032.35	low
583012.9	3025.9	low
456856.2	2971.2	low
450432.7	2967.1	low
462917.2	2958.75	low
382597.9	2951	low
576649.4	2934.85	low
279747.7	2934.35	low
858177	2926.95	low
603359.7	2919	low
558247.8	2912.4	low
403871	2906.55	low
627055.4	2895.2	low
579251.5	2879.65	low
457776.7	2874.05	low
690140.4	2861.35	low
691655.6	2838.75	low
649202	2837	low
543690.3	2829.4	low
566069.3	2823.65	low
460097.2	2821	low
496892.5	2807.2	low
411563.6	2804.7	low
507789.6	2792.55	low
417504.4	2771.3	low
524142.9	2770.9	low
503453.6	2754.4	low
342157.1	2721.65	low
563138.6	2719.7	low
371991.4	2718.75	low
716809.1	2706.7	low
540903.3	2699.8	low
584124.1	2689.85	low
459530.1	2688.05	low
741709.8	2684.25	low
635138.4	2666.8	low
734120.4	2664.7	low
313159.7	2663.25	low
460003.3	2652.45	low
586883.1	2645	low
662899.3	2640.75	low
578998.5	2611.15	low
716480.3	2599.65	low
684834.3	2597.7	low
424483.3	2581.15	low
721839.9	2581	low
455141.6	2561.6	low
679526.3	2561.1	low
528080.6	2559.2	low
480549.9	2544.7	low
670609.9	2517.2	low
574967.4	2497.9	low
737112.1	2495.6	low
773533.1	2488.6	low
257279.8	2487.65	low
608395.1	2483.45	low
740790.3	2475.8	low
508496	2452.6	low
789416.6	2432.1	low
429060.1	2432.1	low
507892.5	2432	low
408366.3	2413.35	low
653881.6	2407.9	low
590419.2	2398.6	low
792036.8	2395.9	low
529867.8	2392.4	low
505283.8	2383.2	low
619089.5	2381.9	low
664104.9	2377.15	low
433277	2371.75	low
687771.9	2364.3	low
645098.4	2360.65	low
434233.9	2357.05	low
622328.8	2354.75	low
471075.8	2351.3	low
626521.4	2348.45	low
548312.5	2342.85	low
377405.1	2326.35	low
683145.8	2324.15	low
573452.6	2304.75	low
608108.6	2296.05	low
514070.1	2290.2	low
562629.9	2284.95	low
352133.6	2278.65	low
577134.8	2258.9	low
663805.3	2258.65	low
584589.9	2258.25	low
308628.6	2257.8	low
595178.7	2249.15	low
539432.4	2245.25	low
598994.4	2243.6	low
552780.6	2222.85	low
365397.3	2212.45	low
636458.1	2210.2	low
408756.3	2194.85	low
498208.3	2194.15	low
440326.7	2193.75	low
487780.7	2183.85	low
477683.1	2168.15	low
595448	2152.3	low
673561.7	2146.45	low
540783.3	2137.75	low
584124.9	2135.4	low
419243.7	2124.75	low
519837.7	2112	low
565777.4	2099.15	low
391284.3	2088.2	low
312814.9	2082.45	low
495343.8	2082	low
437938.6	2076	low
448131.1	2069.1	low
666725.5	2065	low
365268.6	2061.9	low
572010	2059.1	low
451255.7	2053.5	low
594825.2	2035.95	low
525307.2	2023.95	low
474703	2021.75	low
495792.4	2013.65	low
267899	2000.55	low
619159.8	1999.75	low
652450.1	1998.05	low
564068.4	1996.4	low
717280.3	1992.1	low
419018.7	1987.95	low
457360.5	1984.55	low
389396.8	1982.4	low
728461.9	1978.85	low
594467.9	1978.2	low
377459.3	1970.65	low
781347.8	1969.6	low
502752.2	1968.3	low
369609.7	1960.5	low
380784.6	1954.05	low
556446.8	1953	low
291459.4	1952.8	low
379198.4	1944.75	low
604060.4	1943.6	low
605879.3	1939.65	low
558426.3	1937.3	low
640831.2	1932.15	low
634868	1927.5	low
568391.9	1923.9	low
601424.9	1899.55	low
486257.4	1889	low
614163.2	1884.05	low
489720.2	1875.85	low
520355.9	1871.25	low
388097.1	1855.1	low
580290.3	1852.9	low
589565.6	1841.2	low
569883.9	1837.35	low
576542.6	1836.6	low
452288.3	1834.8	low
766484.3	1833.7	low
392213.5	1831.5	low
504169.9	1821.05	low
483411.9	1816.7	low
480141	1816.55	low
413694.1	1812.45	low
392187.8	1811.45	low
638653.5	1788.5	low
328024.5	1786.35	low
578333.7	1785.45	low
413223.8	1783.95	low
499441.4	1779.05	low
316328.7	1776	low
657309.8	1775.25	low
621711	1770.3	low
351144.7	1769.95	low
632855.8	1766.55	low
552939.3	1765.25	low
665491.6	1763.65	low
257484.7	1763.65	low
328143.1	1762.05	low
464470	1757.7	low
403026	1754.75	low
502314.8	1751.95	low
647014.8	1742.55	low
553116.8	1736.25	low
615784.5	1731.35	low
360323.9	1729.4	low
567019.2	1726.95	low
778100.8	1722.35	low
610846.7	1718.55	low
680674.8	1717	low
655551.5	1715.75	low
379187.4	1714.7	low
709291.6	1705.65	low
470141	1699.05	low
660316.3	1690.8	low
496383.7	1688.35	low
590959	1677.85	low
580111.4	1677.7	low
539547.7	1675.05	low
467570.2	1668.05	low
655641.5	1667.25	low
641731.3	1661	low
491078.7	1658.15	low
616771.3	1653.65	low
501076.1	1651.1	low
531590.6	1643.6	low
366614.2	1640.05	low
433158.5	1619.65	low
371159.2	1613.15	low
507031.8	1610.2	low
431320.9	1601.25	low
741290.9	1600.1	low
447962.4	1598.25	low
435711.9	1596.7	low
443833	1596.6	low
517964.1	1593.15	low
557601.6	1590.8	low
528467.3	1565.7	low
590054.1	1560.25	low
452485.2	1559.8	low
466059.1	1559.3	low
572831.1	1558.05	low
518327.9	1557.75	low
667298.1	1557	low
439213.5	1542.95	low
530029.7	1538	low
601699.3	1537.85	low
733366.6	1535.6	low
525369.4	1528.9	low
410968.6	1524.65	low
433637	1523.35	low
406369.6	1516.65	low
426476.3	1500.7	low
569941.3	1500.65	low
446331.9	1498.9	low
518096.9	1492.9	low
288686.6	1482.5	low
411920	1481.3	low
398663.5	1479.85	low
547928	1479.45	low
517867.3	1477.4	low
528263.5	1477.35	low
578961	1473.65	low
420481.3	1452.15	low
619941.7	1451.6	low
454320.2	1446.75	low
474833.5	1446.15	low
